,NA000334Q,Oil,Weekly U.S. Ending Stocks of Crude Oil  (Thousand Barrels)
2011-07-01,3913784,1014.0,1057628.0
2011-07-01,3913784,1014.0,1057628.0
2011-07-01,3913784,1014.0,1057628.0
2011-10-01,3999363,1076.0,1010804.0
2011-10-01,3999363,1076.0,1010804.0
2011-10-01,3999363,1076.0,1010804.0
2012-01-01,3947585,1207.0,1005251.0
2012-01-01,3947585,1207.0,1005251.0
2012-01-01,3947585,1207.0,1005251.0
2012-04-01,4036139,1329.0,1040919.0
2012-04-01,4036139,1329.0,1040919.0
2012-04-01,4036139,1329.0,1040919.0
2012-07-01,4071213,1419.0,1047285.0
2012-07-01,4071213,1419.0,1047285.0
2012-07-01,4071213,1419.0,1047285.0
2012-10-01,4142070,1406.0,1039125.0
2012-10-01,4142070,1406.0,1039125.0
2012-10-01,4142070,1406.0,1039125.0
2013-01-01,4049584,1318.0,1030547.0
2013-01-01,4049584,1318.0,1030547.0
2013-01-01,4049584,1318.0,1030547.0
2013-04-01,4163863,1374.0,1057189.0
2013-04-01,4163863,1374.0,1057189.0
2013-04-01,4163863,1374.0,1057189.0
2013-07-01,4234415,1395.0,1034913.0
2013-07-01,4234415,1395.0,1034913.0
2013-07-01,4234415,1395.0,1034913.0
2013-10-01,4336990,1364.0,1044087.0
2013-10-01,4336990,1364.0,1044087.0
2013-10-01,4336990,1364.0,1044087.0
2014-01-01,4193475,1403.0,1019830.0
2014-01-01,4193475,1403.0,1019830.0
2014-01-01,4193475,1403.0,1019830.0
2014-04-01,4355448,1514.0,1056791.0
2014-04-01,4355448,1514.0,1056791.0
2014-04-01,4355448,1514.0,1056791.0
2014-07-01,4449960,1560.0,1033241.0
2014-07-01,4449960,1560.0,1033241.0
2014-07-01,4449960,1560.0,1033241.0
2014-10-01,4528375,1593.0,1033669.0
2014-10-01,4528375,1593.0,1033669.0
2014-10-01,4528375,1593.0,1033669.0
2015-01-01,4381185,1361.0,1054934.0
2015-01-01,4381185,1361.0,1054934.0
2015-01-01,4381185,1361.0,1054934.0
2015-04-01,4563206,749.0,1144717.0
2015-04-01,4563206,749.0,1144717.0
2015-04-01,4563206,749.0,1144717.0
2015-07-01,4614948,649.0,1124005.0
2015-07-01,4614948,649.0,1124005.0
2015-07-01,4614948,649.0,1124005.0
2015-10-01,4665441,597.0,1136941.0
2015-10-01,4665441,597.0,1136941.0
2015-10-01,4665441,597.0,1136941.0
2016-01-01,4488764,509.0,1153560.0
2016-01-01,4488764,509.0,1153560.0
2016-01-01,4488764,509.0,1153560.0
2016-04-01,4678299,348.0,1201620.0
2016-04-01,4678299,348.0,1201620.0
2016-04-01,4678299,348.0,1201620.0
2016-07-01,4734573,358.0,1186326.0
2016-07-01,4734573,358.0,1186326.0
2016-07-01,4734573,358.0,1186326.0
2016-10-01,4813405,436.0,1168440.0
2016-10-01,4813405,436.0,1168440.0
2016-10-01,4813405,436.0,1168440.0
2017-01-01,4649728,542.0,1182986.0
2017-01-01,4649728,542.0,1182986.0
2017-01-01,4649728,542.0,1182986.0
2017-04-01,4863682,685.0,1221290.0
2017-04-01,4863682,685.0,1221290.0
2017-04-01,4863682,685.0,1221290.0
2017-07-01,4940866,764.0,1166704.0
2017-07-01,4940866,764.0,1166704.0
2017-07-01,4940866,764.0,1166704.0
2017-10-01,5065149,741.0,1129263.0
2017-10-01,5065149,741.0,1129263.0
2017-10-01,5065149,741.0,1129263.0
2018-01-01,4917129,750.0,1079804.0
2018-01-01,4917129,750.0,1079804.0
2018-01-01,4917129,750.0,1079804.0
2018-04-01,5141726,817.0,1095448.0
2018-04-01,5141726,817.0,1095448.0
2018-04-01,5141726,817.0,1095448.0
